country,amount,success,PSP,3D_secured,card,hour,day,day_of_week,multiple_attempts,retry_count
Switzerland,181,0,Simplecard,1,Master,3,1,1,0,0
Switzerland,181,0,Simplecard,1,Master,3,1,1,1,1
Switzerland,181,0,UK_Card,1,Master,3,1,1,1,2
Switzerland,181,1,Simplecard,1,Master,3,1,1,1,3
Germany,85,0,Goldcard,1,Diners,3,1,1,0,0
Germany,85,0,UK_Card,1,Diners,3,1,1,1,1
Germany,85,0,UK_Card,1,Diners,3,1,1,1,2
Germany,85,0,Simplecard,1,Diners,3,1,1,1,3
Germany,85,1,UK_Card,1,Diners,3,1,1,1,4
Germany,62,0,Moneycard,0,Master,3,1,1,0,0
Germany,62,0,UK_Card,0,Master,3,1,1,1,1
Germany,62,0,UK_Card,0,Master,3,1,1,1,2
Germany,62,0,UK_Card,0,Master,3,1,1,1,3
Germany,62,0,UK_Card,0,Master,3,1,1,1,4
Germany,62,0,UK_Card,0,Master,3,1,1,1,5
Germany,62,0,Goldcard,0,Master,3,1,1,1,6
Austria,291,0,UK_Card,0,Master,3,1,1,0,0
Austria,291,1,UK_Card,0,Master,3,1,1,1,1
Germany,107,1,UK_Card,1,Master,3,1,1,0,0
Switzerland,78,0,Moneycard,0,Diners,3,1,1,0,0
Germany,22,0,UK_Card,1,Master,3,1,1,0,0
Germany,22,0,UK_Card,1,Master,3,1,1,1,1
Germany,22,0,UK_Card,1,Master,3,1,1,1,2
Switzerland,164,1,Moneycard,0,Master,3,1,1,0,0
Switzerland,203,0,Simplecard,0,Master,3,1,1,0,0
Switzerland,203,0,Simplecard,0,Master,3,1,1,1,1
Germany,277,0,UK_Card,0,Diners,3,1,1,0,0
Germany,277,0,Simplecard,0,Diners,3,1,1,1,1
Germany,277,0,Simplecard,0,Diners,3,1,1,1,2
Germany,105,1,Simplecard,0,Master,3,1,1,0,4
Germany,239,0,UK_Card,1,Visa,3,1,1,0,0
Germany,239,1,UK_Card,1,Visa,4,1,1,1,1
Austria,113,0,Moneycard,1,Visa,4,1,1,0,0
Austria,113,1,UK_Card,1,Visa,4,1,1,1,1
Austria,379,1,UK_Card,0,Master,4,1,1,0,0
Austria,175,0,UK_Card,1,Master,4,1,1,0,0
Switzerland,84,0,Moneycard,1,Master,4,1,1,0,0
Switzerland,268,0,Simplecard,1,Diners,4,1,1,0,0
Switzerland,268,0,UK_Card,1,Diners,4,1,1,1,1
Switzerland,268,1,Simplecard,1,Diners,4,1,1,1,2
Germany,129,0,Simplecard,0,Master,4,1,1,0,3
Germany,129,0,Simplecard,0,Master,4,1,1,1,4
Germany,129,0,Simplecard,0,Master,4,1,1,1,5
Germany,129,1,UK_Card,0,Master,4,1,1,1,6
Austria,224,0,Goldcard,0,Master,4,1,1,0,0
Austria,224,0,UK_Card,0,Master,4,1,1,1,1
Austria,224,0,Simplecard,0,Master,4,1,1,1,2
Austria,224,0,UK_Card,0,Master,4,1,1,1,3
Austria,224,0,UK_Card,0,Master,4,1,1,1,4
Austria,224,1,UK_Card,0,Master,4,1,1,1,5
Germany,242,1,UK_Card,0,Master,4,1,1,0,0
Germany,45,0,Simplecard,0,Master,4,1,1,0,0
Germany,45,1,UK_Card,0,Master,4,1,1,1,1
Germany,322,0,UK_Card,0,Visa,4,1,1,0,1
Germany,322,0,UK_Card,0,Visa,4,1,1,1,2
Germany,322,0,Moneycard,0,Visa,4,1,1,1,3
Germany,322,1,UK_Card,0,Visa,4,1,1,1,4
Austria,164,0,UK_Card,1,Master,4,1,1,0,0
Austria,164,0,UK_Card,1,Master,4,1,1,1,1
Austria,164,0,UK_Card,1,Master,4,1,1,1,2
Austria,164,0,Simplecard,1,Master,4,1,1,1,3
Austria,164,0,Simplecard,1,Master,4,1,1,1,4
Austria,164,0,Simplecard,1,Master,4,1,1,1,5
Austria,164,0,Simplecard,1,Master,4,1,1,1,6
Germany,158,0,Moneycard,0,Master,4,1,1,0,0
Germany,140,0,Moneycard,0,Master,4,1,1,0,0
Switzerland,13,0,Moneycard,0,Diners,4,1,1,0,0
Switzerland,13,0,UK_Card,0,Diners,4,1,1,1,1
Germany,85,0,UK_Card,0,Master,4,1,1,0,4
Germany,85,0,UK_Card,0,Master,4,1,1,1,5
Germany,85,0,Simplecard,0,Master,4,1,1,1,6
Germany,85,1,Simplecard,0,Master,4,1,1,1,7
Germany,197,0,Goldcard,0,Master,4,1,1,0,0
Switzerland,215,0,Moneycard,0,Master,4,1,1,0,0
Germany,151,0,UK_Card,0,Master,4,1,1,0,0
Germany,151,0,Simplecard,0,Master,4,1,1,1,1
Germany,151,0,Simplecard,0,Master,4,1,1,1,2
Germany,151,0,Moneycard,0,Master,4,1,1,1,3
Germany,151,0,UK_Card,0,Master,4,1,1,1,4
Germany,151,1,Simplecard,0,Master,4,1,1,1,5
Germany,208,0,UK_Card,0,Visa,4,1,1,0,0
Germany,208,0,Moneycard,0,Visa,4,1,1,1,1
Germany,208,0,Goldcard,0,Visa,4,1,1,1,2
Germany,208,0,UK_Card,0,Visa,4,1,1,1,3
Germany,208,0,Goldcard,0,Visa,4,1,1,1,4
Austria,221,0,Simplecard,0,Master,4,1,1,0,0
Austria,221,0,UK_Card,0,Master,4,1,1,1,1
Austria,221,0,Simplecard,0,Master,4,1,1,1,2
Austria,221,1,Goldcard,0,Master,4,1,1,1,3
Germany,257,0,Goldcard,0,Master,4,1,1,0,3
Germany,116,0,Moneycard,0,Visa,4,1,1,0,0
Germany,209,0,UK_Card,1,Master,4,1,1,0,0
Austria,263,0,Moneycard,1,Visa,5,1,1,0,0
Austria,263,0,UK_Card,1,Visa,5,1,1,1,1
Austria,263,1,Simplecard,1,Visa,5,1,1,1,2
Germany,84,0,Simplecard,0,Master,5,1,1,0,0
Austria,136,1,UK_Card,1,Master,5,1,1,0,0
Switzerland,211,0,Goldcard,0,Master,5,1,1,0,0
Switzerland,211,0,UK_Card,0,Master,5,1,1,1,1
Switzerland,211,1,UK_Card,0,Master,5,1,1,1,2
Austria,232,0,UK_Card,0,Visa,5,1,1,0,4
Austria,232,1,Simplecard,0,Visa,5,1,1,1,5
Germany,243,1,UK_Card,0,Master,5,1,1,0,2
Germany,180,0,UK_Card,0,Visa,5,1,1,0,0
Germany,180,0,UK_Card,0,Visa,5,1,1,1,1
Austria,175,0,Moneycard,0,Visa,5,1,1,0,0
Austria,175,0,UK_Card,0,Visa,5,1,1,1,1
Austria,175,0,Moneycard,0,Visa,5,1,1,1,2
Austria,175,1,UK_Card,0,Visa,5,1,1,1,3
Austria,125,1,UK_Card,0,Visa,5,1,1,0,0
Germany,247,0,Moneycard,1,Master,5,1,1,0,0
Germany,247,0,Simplecard,1,Master,5,1,1,1,1
Germany,247,0,UK_Card,1,Master,5,1,1,1,2
Germany,247,1,UK_Card,1,Master,5,1,1,1,3
Switzerland,246,0,Simplecard,0,Master,5,1,1,0,0
Germany,117,0,Moneycard,0,Visa,5,1,1,0,0
Germany,376,1,UK_Card,0,Master,5,1,1,0,0
Germany,174,1,UK_Card,1,Master,5,1,1,0,0
Germany,162,0,UK_Card,0,Diners,5,1,1,0,0
Germany,162,0,UK_Card,0,Diners,5,1,1,1,1
Switzerland,129,0,Simplecard,0,Diners,5,1,1,0,0
Switzerland,215,0,Simplecard,0,Master,5,1,1,0,0
Germany,355,0,UK_Card,0,Diners,5,1,1,0,0
Germany,355,1,Simplecard,0,Diners,5,1,1,1,1
Switzerland,135,0,UK_Card,0,Master,5,1,1,0,0
Switzerland,135,0,UK_Card,0,Master,5,1,1,1,1
Switzerland,135,0,Simplecard,0,Master,5,1,1,1,2
Switzerland,135,0,UK_Card,0,Master,5,1,1,1,3
Switzerland,135,0,UK_Card,0,Master,5,1,1,1,4
Germany,188,0,UK_Card,0,Diners,5,1,1,0,0
Germany,188,0,Moneycard,0,Diners,5,1,1,1,1
Germany,188,0,UK_Card,0,Diners,5,1,1,1,2
Germany,188,0,UK_Card,0,Diners,5,1,1,1,3
Germany,188,1,Moneycard,0,Diners,5,1,1,1,4
Switzerland,192,0,Moneycard,0,Visa,6,1,1,0,0
Austria,180,0,Simplecard,0,Diners,6,1,1,0,0
Austria,180,1,Goldcard,0,Diners,6,1,1,1,1
Switzerland,38,1,Moneycard,0,Diners,6,1,1,0,0
Germany,144,0,UK_Card,0,Master,6,1,1,0,0
Germany,23,1,UK_Card,0,Master,6,1,1,0,0
Austria,146,0,Simplecard,0,Master,6,1,1,0,0
Austria,146,0,UK_Card,0,Master,6,1,1,1,1
Austria,146,0,UK_Card,0,Master,6,1,1,1,2
Austria,146,0,Goldcard,0,Master,6,1,1,1,3
Germany,202,0,UK_Card,0,Diners,6,1,1,0,0
Switzerland,211,0,UK_Card,0,Master,6,1,1,0,2
Switzerland,211,0,UK_Card,0,Master,6,1,1,1,3
Switzerland,211,0,Moneycard,0,Master,6,1,1,1,4
Switzerland,211,0,Simplecard,0,Master,6,1,1,1,5
Switzerland,211,1,Moneycard,0,Master,6,1,1,1,6
Austria,212,1,UK_Card,0,Master,6,1,1,0,0
Austria,273,0,UK_Card,1,Diners,6,1,1,0,0
Austria,273,0,UK_Card,1,Diners,6,1,1,1,1
Austria,273,0,Simplecard,1,Diners,6,1,1,1,2
Austria,273,1,UK_Card,1,Diners,6,1,1,1,3
Switzerland,230,1,UK_Card,0,Master,6,1,1,0,0
Switzerland,141,0,UK_Card,0,Master,6,1,1,0,0
Switzerland,141,0,UK_Card,0,Master,6,1,1,1,1
Germany,135,0,Simplecard,0,Visa,6,1,1,0,0
Germany,135,0,Moneycard,0,Visa,6,1,1,1,1
Germany,135,0,UK_Card,0,Visa,6,1,1,1,2
Switzerland,293,1,UK_Card,0,Visa,6,1,1,0,0
Switzerland,190,0,UK_Card,0,Master,6,1,1,0,4
Switzerland,190,0,Moneycard,0,Master,6,1,1,1,5
Switzerland,190,0,UK_Card,0,Master,6,1,1,1,6
Switzerland,190,0,UK_Card,0,Master,6,1,1,1,7
Switzerland,190,1,UK_Card,0,Master,6,1,1,1,8
Switzerland,336,0,UK_Card,0,Visa,6,1,1,0,0
Switzerland,336,1,UK_Card,0,Visa,6,1,1,1,1
Austria,163,0,UK_Card,1,Master,6,1,1,0,0
Austria,163,1,UK_Card,1,Master,6,1,1,1,1
Switzerland,350,1,Simplecard,0,Master,6,1,1,0,0
Switzerland,374,0,UK_Card,0,Diners,6,1,1,0,0
Switzerland,374,0,Simplecard,0,Diners,6,1,1,1,1
Austria,176,0,Simplecard,0,Visa,6,1,1,0,0
Germany,218,0,UK_Card,1,Master,7,1,1,0,0
Germany,218,0,UK_Card,1,Master,7,1,1,1,1
Germany,218,1,UK_Card,1,Master,7,1,1,1,2
Germany,243,0,UK_Card,0,Master,7,1,1,0,2
Austria,256,0,Moneycard,0,Visa,7,1,1,0,3
Germany,225,0,Moneycard,0,Diners,7,1,1,0,0
Germany,53,0,Moneycard,0,Visa,7,1,1,0,0
Germany,53,1,UK_Card,0,Visa,7,1,1,1,1
Germany,267,0,Simplecard,0,Master,7,1,1,0,0
Germany,267,0,Simplecard,0,Master,7,1,1,1,1
Germany,267,0,UK_Card,0,Master,7,1,1,1,2
Germany,267,0,Simplecard,0,Master,7,1,1,1,3
Germany,267,0,UK_Card,0,Master,7,1,1,1,4
Germany,267,1,UK_Card,0,Master,7,1,1,1,5
Austria,255,0,Simplecard,0,Visa,7,1,1,0,0
Germany,216,0,UK_Card,0,Master,7,1,1,0,0
Germany,216,0,Simplecard,0,Master,7,1,1,1,1
Germany,216,0,UK_Card,0,Master,7,1,1,1,2
Germany,125,1,UK_Card,0,Master,7,1,1,0,0
Germany,263,0,UK_Card,1,Visa,7,1,1,0,0
Germany,263,0,UK_Card,1,Visa,7,1,1,1,1
Germany,263,0,UK_Card,1,Visa,7,1,1,1,2
Germany,263,0,Simplecard,1,Visa,7,1,1,1,3
Germany,263,0,Moneycard,1,Visa,7,1,1,1,4
Germany,263,0,UK_Card,1,Visa,7,1,1,1,5
Germany,263,0,Simplecard,1,Visa,7,1,1,1,6
Germany,263,1,UK_Card,1,Visa,7,1,1,1,7
Germany,450,0,Simplecard,0,Visa,7,1,1,0,0
Germany,301,0,UK_Card,0,Diners,7,1,1,0,0
Germany,301,0,UK_Card,0,Diners,7,1,1,1,1
Austria,271,1,Goldcard,0,Diners,7,1,1,0,0
Germany,183,0,Simplecard,0,Master,7,1,1,0,0
Germany,198,0,Moneycard,0,Visa,7,1,1,0,0
Germany,19,0,UK_Card,0,Visa,7,1,1,0,0
Germany,19,0,UK_Card,0,Visa,7,1,1,1,1
Germany,260,0,UK_Card,1,Visa,7,1,1,0,3
Germany,260,0,Simplecard,1,Visa,7,1,1,1,4
Germany,260,0,Moneycard,1,Visa,7,1,1,1,5
Austria,175,1,Goldcard,0,Master,7,1,1,0,3
Germany,214,0,UK_Card,0,Visa,7,1,1,0,0
Germany,214,0,UK_Card,0,Visa,7,1,1,1,1
Germany,214,0,UK_Card,0,Visa,7,1,1,1,2
Germany,214,0,Simplecard,0,Visa,7,1,1,1,3
Germany,214,0,UK_Card,0,Visa,7,1,1,1,4
Germany,214,0,Simplecard,0,Visa,7,1,1,1,5
Germany,214,0,UK_Card,0,Visa,7,1,1,1,6
Germany,214,0,Simplecard,0,Visa,7,1,1,1,7
Germany,214,0,Moneycard,0,Visa,7,1,1,1,8
Germany,84,0,UK_Card,1,Visa,7,1,1,0,0
Germany,256,0,UK_Card,0,Master,7,1,1,0,0
Germany,147,0,UK_Card,0,Master,7,1,1,0,0
Switzerland,368,0,Moneycard,1,Master,7,1,1,0,0
Germany,249,0,Simplecard,0,Master,7,1,1,0,0
Germany,222,0,UK_Card,1,Master,7,1,1,0,1
Germany,72,0,Goldcard,0,Master,7,1,1,0,0
Switzerland,315,0,Simplecard,1,Master,7,1,1,0,0
Switzerland,199,0,Simplecard,0,Visa,7,1,1,0,0
Germany,273,0,UK_Card,0,Master,7,1,1,0,0
Germany,273,0,Simplecard,0,Master,7,1,1,1,1
Germany,273,0,Simplecard,0,Master,7,1,1,1,2
Germany,273,0,Moneycard,0,Master,7,1,1,1,3
Germany,273,0,Simplecard,0,Master,7,1,1,1,4
Germany,273,1,Moneycard,0,Master,8,1,1,1,5
Switzerland,162,0,UK_Card,0,Master,8,1,1,0,0
Switzerland,162,0,Moneycard,0,Master,8,1,1,1,1
Switzerland,162,0,UK_Card,0,Master,8,1,1,1,2
Switzerland,162,0,Simplecard,0,Master,8,1,1,1,3
Switzerland,162,0,Goldcard,0,Master,8,1,1,1,4
Switzerland,162,0,UK_Card,0,Master,8,1,1,1,5
Switzerland,162,0,Simplecard,0,Master,8,1,1,1,6
Switzerland,162,0,UK_Card,0,Master,8,1,1,1,7
Switzerland,162,0,Moneycard,0,Master,8,1,1,1,8
Switzerland,142,0,Goldcard,0,Master,8,1,1,0,0
Switzerland,142,0,Simplecard,0,Master,8,1,1,1,1
Switzerland,262,0,UK_Card,0,Visa,8,1,1,0,0
Switzerland,262,0,Simplecard,0,Visa,8,1,1,1,1
Switzerland,262,0,UK_Card,0,Visa,8,1,1,1,2
Switzerland,262,1,UK_Card,0,Visa,8,1,1,1,3
Germany,163,0,Simplecard,1,Diners,8,1,1,0,0
Germany,163,1,UK_Card,1,Diners,8,1,1,1,1
Germany,89,1,UK_Card,0,Master,8,1,1,0,1
Austria,65,0,UK_Card,1,Master,8,1,1,0,0
Austria,65,1,UK_Card,1,Master,8,1,1,1,1
Austria,44,1,Moneycard,0,Master,8,1,1,0,0
Germany,45,0,Simplecard,0,Diners,8,1,1,0,1
Germany,45,1,UK_Card,0,Diners,8,1,1,1,2
Germany,169,0,UK_Card,0,Master,8,1,1,0,0
Germany,169,1,UK_Card,0,Master,8,1,1,1,1
Germany,212,0,UK_Card,0,Master,8,1,1,0,0
Germany,269,1,UK_Card,0,Master,8,1,1,0,0
Germany,201,0,UK_Card,0,Master,8,1,1,0,0
Germany,201,1,UK_Card,0,Master,8,1,1,1,1
Germany,212,0,UK_Card,0,Master,8,1,1,0,0
Germany,212,0,UK_Card,0,Master,8,1,1,1,1
Germany,212,0,UK_Card,0,Master,8,1,1,1,2
Germany,212,0,UK_Card,0,Master,8,1,1,1,3
Germany,212,0,Simplecard,0,Master,8,1,1,1,4
Germany,212,0,UK_Card,0,Master,8,1,1,1,5
Germany,212,0,Moneycard,0,Master,8,1,1,1,6
Germany,118,1,UK_Card,0,Visa,8,1,1,0,0
Switzerland,229,1,UK_Card,1,Master,8,1,1,0,0
Austria,249,1,UK_Card,0,Diners,8,1,1,0,0
Switzerland,260,0,UK_Card,0,Master,8,1,1,0,0
Germany,240,0,Simplecard,1,Visa,8,1,1,0,0
Germany,240,0,Simplecard,1,Visa,8,1,1,1,1
Germany,240,1,UK_Card,1,Visa,8,1,1,1,2
Switzerland,339,0,Simplecard,0,Master,8,1,1,0,0
Switzerland,339,1,UK_Card,0,Master,8,1,1,1,1
Germany,44,1,UK_Card,0,Master,8,1,1,0,0
Germany,154,1,UK_Card,1,Visa,8,1,1,0,0
Germany,156,0,Moneycard,0,Master,8,1,1,0,0
Germany,86,1,UK_Card,1,Diners,8,1,1,0,0
Austria,250,1,UK_Card,0,Master,8,1,1,0,0
Germany,258,0,Moneycard,0,Master,9,1,1,0,0
Germany,258,0,UK_Card,0,Master,9,1,1,1,1
Germany,258,1,UK_Card,0,Master,9,1,1,1,2
Austria,293,0,UK_Card,0,Master,9,1,1,0,0
Austria,293,0,UK_Card,0,Master,9,1,1,1,1
Austria,293,0,UK_Card,0,Master,9,1,1,1,2
Austria,293,0,Simplecard,0,Master,9,1,1,1,3
Switzerland,390,0,Simplecard,0,Master,9,1,1,0,0
